cf_empresa;codcls;LeadTime_Medio;LeadTime_DesvioPadrao;LeadTime_Medio_Mes;LeadTime_DesvioPadrao_Mes;Sigla Empresa
1;10;52.17;17.6;1.74;0.59;EMR
1;102;54.35;15.76;1.81;0.53;EMR
1;11;55.13;23.07;1.84;0.77;EMR
1;110;45.69;15.57;1.52;0.52;EMR
1;12;37.92;26.01;1.26;0.87;EMR
1;122;40.06;21.71;1.34;0.72;EMR
1;131;57.62;40.84;1.92;1.36;EMR
1;147;106.56;78.85;3.55;2.63;EMR
1;149;49.03;24.67;1.63;0.82;EMR
1;15;62.84;18.75;2.09;0.62;EMR
1;163;60.63;18.44;2.02;0.61;EMR
1;17;60.21;30.6;2.01;1.02;EMR
1;174;93.2;50.04;3.11;1.67;EMR
1;188;19.75;8.62;0.66;0.29;EMR
1;25;39.82;12.25;1.33;0.41;EMR
1;26;48.14;30.25;1.6;1.01;EMR
1;29;53.0;8.72;1.77;0.29;EMR
1;30;70.13;28.71;2.34;0.96;EMR
1;31;43.75;26.44;1.46;0.88;EMR
1;33;44.43;20.51;1.48;0.68;EMR
1;35;58.82;37.26;1.96;1.24;EMR
1;39;28.14;19.42;0.94;0.65;EMR
1;4;59.44;22.35;1.98;0.74;EMR
1;41;44.43;30.11;1.48;1.0;EMR
1;47;44.55;35.98;1.48;1.2;EMR
1;56;65.63;20.33;2.19;0.68;EMR
1;58;54.24;30.36;1.81;1.01;EMR
1;63;59.18;20.28;1.97;0.68;EMR
1;69;47.79;23.17;1.59;0.77;EMR
1;70;46.92;26.09;1.56;0.87;EMR
1;71;60.09;20.8;2.0;0.69;EMR
1;75;91.55;45.59;3.05;1.52;EMR
1;77;63.14;33.58;2.1;1.12;EMR
1;83;45.42;28.64;1.51;0.95;EMR
1;85;71.43;35.04;2.38;1.17;EMR
1;87;48.45;19.68;1.62;0.66;EMR
1;88;38.58;21.57;1.29;0.72;EMR
1;89;38.84;20.73;1.29;0.69;EMR
1;95;47.92;22.11;1.6;0.74;EMR
190;10;41.39;27.13;1.38;0.9;ETO
190;102;67.24;39.06;2.24;1.3;ETO
190;11;57.91;24.12;1.93;0.8;ETO
190;110;43.7;17.99;1.46;0.6;ETO
190;116;60.42;25.22;2.01;0.84;ETO
190;12;50.56;25.41;1.69;0.85;ETO
190;122;48.71;13.88;1.62;0.46;ETO
190;131;71.07;50.4;2.37;1.68;ETO
190;147;89.08;58.52;2.97;1.95;ETO
190;149;59.39;20.83;1.98;0.69;ETO
190;15;61.18;19.8;2.04;0.66;ETO
190;163;61.83;22.48;2.06;0.75;ETO
190;17;54.58;27.2;1.82;0.91;ETO
190;174;85.04;40.66;2.83;1.36;ETO
190;19;42.39;26.22;1.41;0.87;ETO
190;2;31.26;11.62;1.04;0.39;ETO
190;25;42.52;11.33;1.42;0.38;ETO
190;26;40.08;48.19;1.34;1.61;ETO
190;30;66.44;27.36;2.21;0.91;ETO
190;31;67.39;41.66;2.25;1.39;ETO
190;32;0.0;0.0;0.0;0.0;ETO
190;33;39.76;20.33;1.33;0.68;ETO
190;35;58.28;26.97;1.94;0.9;ETO
190;36;37.9;11.71;1.26;0.39;ETO
190;39;35.58;19.47;1.19;0.65;ETO
190;4;54.05;18.53;1.8;0.62;ETO
190;41;60.71;37.79;2.02;1.26;ETO
190;47;59.4;22.26;1.98;0.74;ETO
190;5;53.33;16.86;1.78;0.56;ETO
190;52;33.8;18.03;1.13;0.6;ETO
190;56;64.78;17.9;2.16;0.6;ETO
190;58;60.53;29.62;2.02;0.99;ETO
190;60;52.08;36.45;1.74;1.22;ETO
190;63;52.86;18.97;1.76;0.63;ETO
190;69;55.99;29.86;1.87;1.0;ETO
190;70;51.69;22.93;1.72;0.76;ETO
190;71;57.44;17.74;1.91;0.59;ETO
190;75;89.29;49.6;2.98;1.65;ETO
190;77;69.63;33.36;2.32;1.11;ETO
190;83;51.64;35.29;1.72;1.18;ETO
190;87;54.8;14.81;1.83;0.49;ETO
190;88;56.49;29.82;1.88;0.99;ETO
190;89;47.65;17.99;1.59;0.6;ETO
190;95;47.72;26.19;1.59;0.87;ETO
190;97;16.0;27.33;0.53;0.91;ETO
191;10;46.83;24.8;1.56;0.83;EMT
191;102;59.68;35.58;1.99;1.19;EMT
191;11;51.52;28.94;1.72;0.96;EMT
191;110;41.04;31.46;1.37;1.05;EMT
191;116;49.4;27.14;1.65;0.9;EMT
191;12;50.2;24.94;1.67;0.83;EMT
191;122;43.87;22.07;1.46;0.74;EMT
191;131;58.38;46.13;1.95;1.54;EMT
191;147;97.02;75.79;3.23;2.53;EMT
191;149;52.77;23.38;1.76;0.78;EMT
191;15;57.19;20.49;1.91;0.68;EMT
191;163;53.62;19.86;1.79;0.66;EMT
191;17;52.64;19.95;1.75;0.66;EMT
191;174;109.7;58.88;3.66;1.96;EMT
191;19;35.27;20.21;1.18;0.67;EMT
191;2;44.62;39.31;1.49;1.31;EMT
191;25;41.87;7.51;1.4;0.25;EMT
191;26;63.74;52.6;2.12;1.75;EMT
191;30;62.41;23.31;2.08;0.78;EMT
191;31;53.31;28.4;1.78;0.95;EMT
191;33;43.89;21.22;1.46;0.71;EMT
191;35;61.2;33.24;2.04;1.11;EMT
191;39;35.18;21.29;1.17;0.71;EMT
191;4;52.98;18.56;1.77;0.62;EMT
191;41;56.55;33.44;1.88;1.11;EMT
191;47;63.22;27.44;2.11;0.91;EMT
191;52;39.47;27.89;1.32;0.93;EMT
191;56;63.34;15.1;2.11;0.5;EMT
191;58;58.48;30.5;1.95;1.02;EMT
191;60;43.25;20.2;1.44;0.67;EMT
191;63;55.97;25.08;1.87;0.84;EMT
191;69;58.41;30.29;1.95;1.01;EMT
191;70;50.54;25.59;1.68;0.85;EMT
191;71;57.27;18.23;1.91;0.61;EMT
191;75;94.74;55.82;3.16;1.86;EMT
191;77;60.08;30.32;2.0;1.01;EMT
191;8;183.0;0.0;6.1;0.0;EMT
191;83;46.69;32.46;1.56;1.08;EMT
191;87;52.54;13.61;1.75;0.45;EMT
191;88;51.44;22.04;1.71;0.73;EMT
191;89;42.61;11.29;1.42;0.38;EMT
191;95;50.51;29.94;1.68;1.0;EMT
191;97;52.79;33.61;1.76;1.12;EMT
193;10;46.06;22.09;1.54;0.74;EMS
193;102;63.19;41.98;2.11;1.4;EMS
193;11;55.35;26.25;1.84;0.88;EMS
193;110;42.26;20.37;1.41;0.68;EMS
193;116;46.66;23.13;1.56;0.77;EMS
193;12;43.42;25.32;1.45;0.84;EMS
193;122;49.34;15.69;1.64;0.52;EMS
193;131;61.33;44.69;2.04;1.49;EMS
193;147;98.08;62.0;3.27;2.07;EMS
193;149;51.42;27.11;1.71;0.9;EMS
193;15;59.65;19.42;1.99;0.65;EMS
193;163;61.63;31.59;2.05;1.05;EMS
193;17;61.62;29.93;2.05;1.0;EMS
193;174;41.19;49.84;1.37;1.66;EMS
193;188;27.0;0.0;0.9;0.0;EMS
193;19;50.94;23.58;1.7;0.79;EMS
193;2;44.62;26.93;1.49;0.9;EMS
193;20;18.5;21.36;0.62;0.71;EMS
193;25;43.67;12.62;1.46;0.42;EMS
193;26;32.67;27.43;1.09;0.91;EMS
193;27;33.5;47.38;1.12;1.58;EMS
193;29;50.67;8.5;1.69;0.28;EMS
193;30;62.59;23.44;2.09;0.78;EMS
193;33;43.58;22.04;1.45;0.73;EMS
193;35;61.63;33.9;2.05;1.13;EMS
193;39;28.61;20.29;0.95;0.68;EMS
193;4;49.67;19.07;1.66;0.64;EMS
193;41;59.32;43.03;1.98;1.43;EMS
193;47;58.93;20.43;1.96;0.68;EMS
193;56;62.6;11.9;2.09;0.4;EMS
193;58;60.66;29.22;2.02;0.97;EMS
193;60;42.3;29.93;1.41;1.0;EMS
193;63;60.86;31.63;2.03;1.05;EMS
193;69;57.81;34.54;1.93;1.15;EMS
193;70;53.68;22.45;1.79;0.75;EMS
193;71;57.59;17.76;1.92;0.59;EMS
193;75;95.86;55.44;3.2;1.85;EMS
193;77;64.68;33.79;2.16;1.13;EMS
193;83;43.04;24.53;1.43;0.82;EMS
193;87;54.2;30.76;1.81;1.03;EMS
193;88;45.24;31.68;1.51;1.06;EMS
193;89;46.76;17.55;1.56;0.59;EMS
193;95;42.5;25.1;1.42;0.84;EMS
193;97;45.9;18.93;1.53;0.63;EMS
20;10;40.52;22.43;1.35;0.75;ESE
20;102;65.56;20.44;2.19;0.68;ESE
20;11;56.17;24.4;1.87;0.81;ESE
20;110;40.75;14.49;1.36;0.48;ESE
20;116;36.43;25.19;1.21;0.84;ESE
20;12;42.27;24.68;1.41;0.82;ESE
20;122;45.82;30.92;1.53;1.03;ESE
20;131;74.17;57.9;2.47;1.93;ESE
20;147;102.63;73.48;3.42;2.45;ESE
20;149;62.75;22.26;2.09;0.74;ESE
20;15;60.96;17.58;2.03;0.59;ESE
20;163;55.78;19.63;1.86;0.65;ESE
20;17;52.73;26.22;1.76;0.87;ESE
20;174;83.2;37.66;2.77;1.26;ESE
20;188;40.82;13.76;1.36;0.46;ESE
20;19;37.92;20.19;1.26;0.67;ESE
20;2;33.46;19.73;1.12;0.66;ESE
20;25;36.71;13.11;1.22;0.44;ESE
20;26;43.84;28.48;1.46;0.95;ESE
20;30;68.24;28.49;2.27;0.95;ESE
20;31;67.4;47.82;2.25;1.59;ESE
20;32;44.33;5.51;1.48;0.18;ESE
20;33;41.04;17.77;1.37;0.59;ESE
20;35;51.96;29.47;1.73;0.98;ESE
20;37;35.44;11.26;1.18;0.38;ESE
20;39;32.29;19.32;1.08;0.64;ESE
20;4;55.62;15.44;1.85;0.51;ESE
20;41;57.95;26.6;1.93;0.89;ESE
20;47;52.84;21.62;1.76;0.72;ESE
20;52;41.92;30.05;1.4;1.0;ESE
20;56;64.46;18.21;2.15;0.61;ESE
20;58;62.2;31.52;2.07;1.05;ESE
20;60;73.0;5.2;2.43;0.17;ESE
20;63;57.15;17.89;1.9;0.6;ESE
20;69;54.72;31.79;1.82;1.06;ESE
20;70;54.13;25.58;1.8;0.85;ESE
20;71;57.96;18.97;1.93;0.63;ESE
20;75;92.97;46.92;3.1;1.56;ESE
20;77;46.31;19.47;1.54;0.65;ESE
20;83;44.77;25.89;1.49;0.86;ESE
20;87;53.62;16.21;1.79;0.54;ESE
20;88;37.24;33.17;1.24;1.11;ESE
20;89;43.52;15.29;1.45;0.51;ESE
20;95;45.79;32.28;1.53;1.08;ESE
20;97;46.53;16.17;1.55;0.54;ESE
218;10;48.79;23.76;1.63;0.79;ESS
218;11;44.25;32.36;1.48;1.08;ESS
218;110;41.56;22.95;1.39;0.76;ESS
218;114;46.5;23.33;1.55;0.78;ESS
218;116;40.0;6.0;1.33;0.2;ESS
218;12;44.88;34.06;1.5;1.14;ESS
218;122;47.93;30.31;1.6;1.01;ESS
218;131;56.12;50.16;1.87;1.67;ESS
218;147;93.36;79.18;3.11;2.64;ESS
218;149;54.08;35.9;1.8;1.2;ESS
218;15;55.48;27.98;1.85;0.93;ESS
218;16;21.0;11.31;0.7;0.38;ESS
218;163;54.76;26.52;1.83;0.88;ESS
218;17;63.5;30.71;2.12;1.02;ESS
218;174;101.8;59.98;3.39;2.0;ESS
218;188;37.08;25.7;1.24;0.86;ESS
218;2;41.95;34.88;1.4;1.16;ESS
218;25;45.4;10.78;1.51;0.36;ESS
218;26;36.96;30.33;1.23;1.01;ESS
218;29;66.0;0.0;2.2;0.0;ESS
218;30;69.8;45.72;2.33;1.52;ESS
