sigla;codcls_mat;codmat;consumo_medio;desvio_padrao
EAC;4;9525;-25.4;56.796126628494655
EAC;4;22508;-2.0714285714285716;19.98254733016283
EAC;4;90462;1510.4583333333333;781.1652377206685
EAC;4;90463;3.75;14.018315087582273
EAC;4;90581;0.0;
EAC;4;90638;14.363636363636363;63.34076055788995
EAC;4;90837;10.765217391304347;16.369861683639908
EAC;4;522508;36.875;55.56141333852039
EAC;4;590462;125.66666666666667;458.24786027790174
EAC;4;590638;-4.333333333333333;12.624616920166423
EAC;10;9548;1.275;1.2770174956556102
EAC;10;22537;-42.489999999999995;121.52821935665806
EAC;10;90008;953.4095;4700.216510517556
EAC;10;90255;1522.8575;2675.4100678721643
EAC;10;90256;3409.650416666667;3971.9306562354914
EAC;10;500091;2970.5725;2677.094617199205
EAC;10;509548;0.24571428571428572;1.1188278304930184
EAC;10;522537;-691.5395000000001;1864.2021287501468
EAC;10;590010;0.0;
EAC;10;590255;4621.312916666667;7153.735470133602
EAC;10;590256;424.25;812.2067075566416
EAC;10;691063;-336.70000000000005;2616.5622085062937
EAC;11;10;0.0;0.0
EAC;11;13;-49.83;70.47026181305132
EAC;11;3028;-5.0;
EAC;11;5561;87.5;476.31397208144125
EAC;11;9523;35.857142857142854;33.41870021125184
EAC;11;9564;-162.445;397.9073612664133
EAC;11;22509;-0.5740000000000002;7.257922567787562
EAC;11;90004;0.0;0.0
EAC;11;90258;187.78208333333336;474.3300248815867
EAC;11;90259;0.0;252.93209563042805
EAC;11;90260;-24.635;82.2141483565937
EAC;11;90262;6159.251666666667;7343.952025529263
EAC;11;90263;44.011052631578934;464.18925275862233
EAC;11;90264;696.3408695652174;2094.030480558557
EAC;11;90266;6448.668333333334;6839.381076318343
EAC;11;90267;857.11875;1578.3544788366098
EAC;11;90268;2695.5721739130436;4940.171391018328
EAC;11;90269;7.25;6.242996075603444
EAC;11;90271;0.0;
EAC;11;90272;737.721052631579;1684.13710598466
EAC;11;90274;894.8476470588236;1022.7256469572461
EAC;11;90282;10439.1875;4610.93015178278
EAC;11;90283;1985.9208333333333;1296.3398920167729
EAC;11;90284;257.0758333333333;342.93887011252895
EAC;11;90286;1304.2083333333333;888.9771836054142
